initial_temp,cooling_multiple,temp_length,num_non_improve,time_taken,kemeny_score
100,0.99,100,1000,0.1049191951751709,152
100,0.99,100,2000,0.19853520393371582,116
100,0.99,100,3000,0.23617196083068848,108
100,0.99,1000,1000,1.1317989826202393,67
100,0.99,1000,2000,1.0263628959655762,64
100,0.99,1000,3000,1.0238449573516846,64
100,0.99,10000,1000,1.1721491813659668,73
100,0.99,10000,2000,2.5272481441497803,72
100,0.99,10000,3000,3.7000691890716553,66
100,0.99,100000,1000,1.3386988639831543,66
100,0.99,100000,2000,2.86818790435791,72
100,0.99,100000,3000,3.4062678813934326,72
100,0.991,100,1000,0.10828280448913574,82
100,0.991,100,2000,0.13219594955444336,150
100,0.991,100,3000,0.15706205368041992,130
100,0.991,1000,1000,1.1298329830169678,75
100,0.991,1000,2000,1.0917508602142334,70
100,0.991,1000,3000,1.1064329147338867,70
100,0.991,10000,1000,1.3010690212249756,70
100,0.991,10000,2000,2.695115804672241,68
100,0.991,10000,3000,3.241081714630127,68
100,0.991,100000,1000,1.449937105178833,63
100,0.991,100000,2000,2.1873087882995605,63
100,0.991,100000,3000,3.6710970401763916,74
100,0.992,100,1000,0.10064291954040527,74
100,0.992,100,2000,0.10655498504638672,132
100,0.992,100,3000,0.10233187675476074,128
100,0.992,1000,1000,1.0224590301513672,68
100,0.992,1000,2000,1.0247008800506592,67
100,0.992,1000,3000,1.0301740169525146,67
100,0.992,10000,1000,1.2286372184753418,67
100,0.992,10000,2000,2.794340133666992,73
100,0.992,10000,3000,3.7309749126434326,72
100,0.992,100000,1000,1.8096437454223633,66
100,0.992,100000,2000,2.785590887069702,64
100,0.992,100000,3000,3.2297840118408203,64
100,0.993,100,1000,0.10168600082397461,77
100,0.993,100,2000,0.10244870185852051,117
100,0.993,100,3000,0.10194206237792969,103
100,0.993,1000,1000,1.0177950859069824,74
100,0.993,1000,2000,1.0289571285247803,74
100,0.993,1000,3000,1.0231249332427979,71
100,0.993,10000,1000,1.2282819747924805,71
100,0.993,10000,2000,2.6593480110168457,69
100,0.993,10000,3000,3.823535919189453,62
100,0.993,100000,1000,1.2352209091186523,62
100,0.993,100000,2000,2.2697579860687256,71
100,0.993,100000,3000,3.7525837421417236,71
100,0.994,100,1000,0.1008150577545166,71
100,0.994,100,2000,0.1013789176940918,153
100,0.994,100,3000,0.10466909408569336,133
100,0.994,1000,1000,1.018456220626831,63
100,0.994,1000,2000,1.0211482048034668,63
100,0.994,1000,3000,1.029482126235962,77
100,0.994,10000,1000,1.8656179904937744,63
100,0.994,10000,2000,2.263671875,63
100,0.994,10000,3000,3.3054239749908447,71
100,0.994,100000,1000,1.8596370220184326,64
100,0.994,100000,2000,2.301970958709717,64
100,0.994,100000,3000,3.8581690788269043,68
100,0.995,100,1000,0.10313820838928223,68
100,0.995,100,2000,0.10361409187316895,186
100,0.995,100,3000,0.10258007049560547,154
100,0.995,1000,1000,1.0207231044769287,65
100,0.995,1000,2000,1.0271341800689697,65
100,0.995,1000,3000,1.06852388381958,69
100,0.995,10000,1000,1.321964979171753,69
100,0.995,10000,2000,2.9150121212005615,68
100,0.995,10000,3000,3.3322741985321045,68
100,0.995,100000,1000,1.3403689861297607,70
